,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4918,2,0,0,5082
1,2,4798,2,0,0,5202
2,3,4787,2,0,0,5213
3,4,4747,2,0,0,5253
4,5,4784,2,0,0,5216
5,6,4687,2,0,0,5313
6,7,4727,2,0,0,5273
7,8,4529,2,0,0,5471
8,9,4494,2,0,0,5506
9,10,4465,2,0,0,5535
10,11,4264,2,0,0,5736
11,12,4292,2,0,0,5708
12,13,4196,2,0,0,5804
13,14,4094,2,0,0,5906
14,15,4108,2,0,0,5892
15,16,4051,2,0,0,5949
16,17,4006,2,0,0,5994
17,18,3925,2,0,0,6075
18,19,3800,2,0,0,6200
19,20,3695,2,0,0,6305
