,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,5008,1,0,0,4992
1,2,5050,1,0,0,4950
2,3,4926,1,0,0,5074
3,4,4805,1,0,0,5195
4,5,4717,1,0,0,5283
5,6,4667,1,0,0,5333
6,7,4600,1,0,0,5400
7,8,4491,1,0,0,5509
8,9,4565,1,0,0,5435
9,10,4548,1,0,0,5452
10,11,4380,1,0,0,5620
11,12,4429,1,0,0,5571
12,13,4274,1,0,0,5726
13,14,4160,1,0,0,5840
14,15,4072,1,0,0,5928
15,16,4074,1,0,0,5926
16,17,3938,1,0,0,6062
17,18,3910,1,0,0,6090
18,19,3818,1,0,0,6182
19,20,3731,1,0,0,6269
