,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4954,0,0,0,5046
1,2,4982,0,0,0,5018
2,3,4991,0,0,0,5009
3,4,5006,0,0,0,4994
4,5,4854,0,0,0,5146
5,6,4935,0,0,0,5065
6,7,5049,0,0,0,4951
7,8,5045,0,0,0,4955
8,9,4977,0,0,0,5023
9,10,4921,0,0,0,5079
10,11,4994,0,0,0,5006
11,12,4959,0,0,0,5041
12,13,5004,0,0,0,4996
13,14,5032,0,0,0,4968
14,15,5002,0,0,0,4998
15,16,5021,0,0,0,4979
16,17,4974,0,0,0,5026
17,18,4967,0,0,0,5033
18,19,4998,0,0,0,5002
19,20,4907,0,0,0,5093
