,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,4973,1,5000,5000,5027
1,2,4979,1,4957,5043,5021
2,3,4842,1,5024,4976,5158
3,4,4904,1,5005,4995,5096
4,5,4925,1,5002,4998,5075
5,6,4866,1,4948,5052,5134
6,7,4718,1,4950,5050,5282
7,8,4816,1,4986,5014,5184
8,9,4715,1,4884,5116,5285
9,10,4721,1,5009,4991,5279
10,11,4657,1,4942,5058,5343
11,12,4658,1,4959,5041,5342
12,13,4666,1,4984,5016,5334
13,14,4606,1,4925,5075,5394
14,15,4519,1,5068,4932,5481
15,16,4507,1,5020,4980,5493
16,17,4527,1,4976,5024,5473
17,18,4484,1,4973,5027,5516
18,19,4397,1,4947,5053,5603
19,20,4427,1,4993,5007,5573
