,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,5072,1,0,0,4928
1,2,5025,1,0,0,4975
2,3,4987,1,0,0,5013
3,4,4959,1,0,0,5041
4,5,5092,1,0,0,4908
5,6,4905,1,0,0,5095
6,7,5008,1,0,0,4992
7,8,5092,1,0,0,4908
8,9,5070,1,0,0,4930
9,10,5088,1,0,0,4912
10,11,5010,1,0,0,4990
11,12,4917,1,0,0,5083
12,13,5139,1,0,0,4861
13,14,4904,1,0,0,5096
14,15,5065,1,0,0,4935
15,16,4969,1,0,0,5031
16,17,4976,1,0,0,5024
17,18,4965,1,0,0,5035
18,19,4950,1,0,0,5050
19,20,4991,1,0,0,5009
