,choices_revealed,losses,simulation_no,stays,switches,wins
0,1,5038,0,0,0,4962
1,2,4931,0,0,0,5069
2,3,4805,0,0,0,5195
3,4,4817,0,0,0,5183
4,5,4655,0,0,0,5345
5,6,4784,0,0,0,5216
6,7,4688,0,0,0,5312
7,8,4511,0,0,0,5489
8,9,4491,0,0,0,5509
9,10,4541,0,0,0,5459
10,11,4281,0,0,0,5719
11,12,4307,0,0,0,5693
12,13,4215,0,0,0,5785
13,14,4156,0,0,0,5844
14,15,4184,0,0,0,5816
15,16,4060,0,0,0,5940
16,17,3949,0,0,0,6051
17,18,3892,0,0,0,6108
18,19,3836,0,0,0,6164
19,20,3795,0,0,0,6205
